t,v,vw,o,c,h,l,n
2024-11-01 00:00:00+00:00,9.032522030000003,70210.3274,70250.1,70199.9,70298.0,70162.0,359
2024-11-01 00:01:00+00:00,3.6447619599999985,70219.3145,70220.23,70212.78,70313.0,70200.0,203
2024-11-01 00:02:00+00:00,8.542681060000005,70208.9775,70219.76,70211.41,70316.0,70175.63,302
2024-11-01 00:03:00+00:00,8.408977310000001,70225.1501,70215.03,70250.0,70317.0,70204.2,331
2024-11-01 00:04:00+00:00,1.5411185899999993,70243.9408,70250.0,70249.97,70256.76,70213.2,178
2024-11-01 00:05:00+00:00,6.673498050000002,70283.3485,70249.97,70267.3,70385.0,70241.3,273
2024-11-01 00:06:00+00:00,5.438990240000001,70299.1529,70318.49,70297.7,70409.0,70267.4,189
2024-11-01 00:07:00+00:00,6.790622070000001,70331.0813,70318.98,70327.0,70410.0,70299.0,231
2024-11-01 00:08:00+00:00,4.137857830000003,70307.2675,70322.94,70294.53,70322.94,70294.53,200
2024-11-01 00:09:00+00:00,2.399198870000001,70276.0113,70301.0,70279.98,70410.0,70255.72,183
2024-11-01 00:10:00+00:00,3.5928084299999976,70273.817,70279.98,70265.47,70373.0,70239.72,197
2024-11-01 00:11:00+00:00,3.9979331600000005,70275.8068,70261.6,70275.34,70301.0,70258.85,246
2024-11-01 00:12:00+00:00,3.3769612199999997,70269.9342,70275.35,70263.31,70285.1,70249.28,219
2024-11-01 00:13:00+00:00,20.02809922,70285.7713,70262.76,70322.0,70386.0,70253.3,343
2024-11-01 00:14:00+00:00,3.207330969999999,70345.2101,70327.22,70355.72,70431.0,70322.0,181
2024-11-01 00:15:00+00:00,3.59563733,70343.9146,70343.0,70325.53,70438.0,70311.09,226
2024-11-01 00:16:00+00:00,4.21055608,70328.8042,70325.54,70305.92,70437.0,70301.68,172
2024-11-01 00:17:00+00:00,7.570899800000003,70315.8931,70323.8,70318.46,70327.3,70305.92,188
2024-11-01 00:18:00+00:00,5.641138060000004,70336.6169,70318.46,70354.42,70438.0,70318.46,222
2024-11-01 00:19:00+00:00,6.008943369999996,70337.5654,70354.41,70358.9,70358.9,70326.04,170
2024-11-01 00:20:00+00:00,3.8050536600000004,70335.9284,70357.15,70337.02,70364.64,70326.05,163
2024-11-01 00:21:00+00:00,2.1295280400000016,70333.9316,70335.98,70311.77,70438.0,70311.76,155
2024-11-01 00:22:00+00:00,2.9244991200000015,70294.809,70334.4,70255.84,70427.0,70252.6,192
2024-11-01 00:23:00+00:00,3.100895280000001,70285.2728,70257.12,70294.47,70309.7,70257.12,174
2024-11-01 00:24:00+00:00,2.664137749999999,70290.7773,70296.86,70297.98,70300.74,70269.64,236
2024-11-01 00:25:00+00:00,2.98124421,70301.2277,70294.31,70314.01,70381.0,70284.95,192
2024-11-01 00:26:00+00:00,24.342787809999997,70304.3033,70308.31,70285.16,70308.33,70272.11,294
2024-11-01 00:27:00+00:00,4.174796269999998,70324.2179,70285.16,70358.98,70410.0,70285.16,195
2024-11-01 00:28:00+00:00,3.9375527700000004,70342.4063,70358.99,70301.43,70439.0,70301.43,157
2024-11-01 00:29:00+00:00,4.544869290000001,70325.4917,70309.5,70314.63,70344.58,70309.49,254
2024-11-01 00:30:00+00:00,2.6579254200000006,70311.0253,70315.27,70309.22,70422.0,70299.35,212
2024-11-01 00:31:00+00:00,3.9676153099999985,70285.52,70312.75,70267.18,70417.0,70262.28,217
2024-11-01 00:32:00+00:00,2.3998097500000006,70262.7209,70267.18,70238.38,70380.0,70238.36,184
2024-11-01 00:33:00+00:00,2.410833190000001,70214.8346,70360.0,70195.08,70360.0,70195.08,176
2024-11-01 00:34:00+00:00,11.285587360000003,70150.7397,70195.08,70124.41,70313.0,70122.45,559
2024-11-01 00:35:00+00:00,8.23116483999999,70120.0501,70125.0,70122.43,70242.0,70105.69,280
2024-11-01 00:36:00+00:00,1.7785725600000013,70128.0657,70122.44,70109.32,70144.86,70105.85,219
2024-11-01 00:37:00+00:00,3.6812439200000027,70108.8762,70109.82,70095.94,70133.05,70091.45,419
2024-11-01 00:38:00+00:00,3.74324222,70099.2853,70095.94,70098.29,70113.1,70092.4,309
2024-11-01 00:39:00+00:00,5.146265419999998,70076.2167,70098.28,70048.94,70210.0,70038.83,302
2024-11-01 00:40:00+00:00,32.15849836999999,70060.2699,70048.94,70093.67,70181.0,70048.94,452
2024-11-01 00:41:00+00:00,1.6910758499999996,70105.3649,70097.7,70118.1,70195.0,70088.75,194
2024-11-01 00:42:00+00:00,14.412654919999985,70153.3286,70126.6,70190.82,70294.0,70118.1,393
2024-11-01 00:43:00+00:00,2.291098629999999,70179.7623,70190.83,70165.8,70284.0,70140.9,183
2024-11-01 00:44:00+00:00,2.6733451100000005,70155.4888,70167.13,70154.73,70283.0,70138.91,167
2024-11-01 00:45:00+00:00,2.4101083899999995,70148.4097,70165.7,70128.61,70255.0,70124.97,238
2024-11-01 00:46:00+00:00,6.007993720000005,70128.9137,70132.66,70157.05,70162.2,70108.25,232
2024-11-01 00:47:00+00:00,7.568546750000004,70199.6124,70165.19,70199.01,70334.0,70162.2,285
2024-11-01 00:48:00+00:00,3.507163560000001,70233.5683,70196.6,70247.46,70341.0,70196.6,234
2024-11-01 00:49:00+00:00,1.3612442299999994,70258.7533,70245.4,70280.49,70342.0,70210.5,190
2024-11-01 00:50:00+00:00,8.84458960999998,70268.0257,70354.0,70219.91,70354.0,70219.84,336
2024-11-01 00:51:00+00:00,2.4407934800000017,70217.9738,70269.7,70217.96,70342.0,70212.14,104
2024-11-01 00:52:00+00:00,2.0047168299999996,70207.9608,70218.23,70253.4,70266.8,70199.17,186
2024-11-01 00:53:00+00:00,3.0355693899999996,70191.6117,70200.91,70181.72,70318.0,70181.71,222
2024-11-01 00:54:00+00:00,4.1468530500000025,70176.9299,70181.72,70172.11,70301.0,70169.16,213
2024-11-01 00:55:00+00:00,4.69183502,70156.8218,70172.11,70140.48,70292.0,70137.3,181
2024-11-01 00:56:00+00:00,1.3330177900000009,70149.7499,70140.48,70148.46,70197.3,70140.48,139
2024-11-01 00:57:00+00:00,4.414551330000001,70132.4917,70148.16,70129.98,70259.0,70123.51,214
2024-11-01 00:58:00+00:00,3.746807560000003,70099.8607,70129.07,70069.91,70245.0,70067.41,313
2024-11-01 00:59:00+00:00,1.1800147300000001,70069.4186,70069.91,70188.0,70200.0,70061.42,100
2024-11-01 01:00:00+00:00,4.738447790000002,70067.9349,70077.8,70079.43,70180.0,70056.05,348
2024-11-01 01:01:00+00:00,4.718009079999998,70081.4058,70079.43,70061.95,70096.1,70056.18,406
2024-11-01 01:02:00+00:00,2.163700889999999,70081.2508,70061.95,70073.98,70098.4,70060.75,209
2024-11-01 01:03:00+00:00,3.1628130200000033,70105.3495,70176.0,70109.23,70208.0,70073.98,284
2024-11-01 01:04:00+00:00,3.9692749199999993,70128.4384,70109.24,70114.61,70230.0,70105.94,343
2024-11-01 01:05:00+00:00,2.7105536500000014,70108.6119,70114.6,70098.33,70225.0,70089.72,249
2024-11-01 01:06:00+00:00,2.1377419300000007,70141.4625,70102.09,70163.37,70230.0,70102.09,176
2024-11-01 01:07:00+00:00,2.59274185,70163.8083,70113.0,70159.14,70173.21,70113.0,169
2024-11-01 01:08:00+00:00,1.3605763200000003,70155.6475,70161.85,70166.67,70246.0,70144.79,90
2024-11-01 01:09:00+00:00,1.782069410000001,70140.3004,70151.7,70139.94,70166.67,70120.3,147
2024-11-01 01:10:00+00:00,1.3474167000000006,70135.0948,70139.93,70126.67,70245.0,70120.92,179
2024-11-01 01:11:00+00:00,3.8747344500000005,70167.2969,70126.67,70182.54,70272.0,70126.67,274
2024-11-01 01:12:00+00:00,0.4507625799999998,70185.3974,70182.53,70189.89,70192.47,70171.1,110
2024-11-01 01:13:00+00:00,2.4195069200000017,70218.756,70175.7,70248.65,70316.0,70175.7,184
