t,v,vw,o,c,h,l,n
2024-12-01 00:00:00+00:00,3.250589280000002,96447.9518,96456.3,96421.69,96506.0,96417.19,256
2024-12-01 00:01:00+00:00,2.819760249999998,96444.4838,96421.7,96400.18,96500.0,96400.0,333
2024-12-01 00:02:00+00:00,5.655007379999998,96431.1361,96400.18,96469.83,96486.0,96400.0,362
2024-12-01 00:03:00+00:00,6.004593179999997,96504.5305,96469.83,96553.87,96555.0,96439.9,383
2024-12-01 00:04:00+00:00,3.153810440000001,96553.9703,96548.76,96559.98,96588.0,96463.6,322
2024-12-01 00:05:00+00:00,2.579740949999999,96562.6302,96559.05,96548.88,96595.0,96534.87,284
2024-12-01 00:06:00+00:00,2.841353970000002,96548.6909,96551.8,96537.72,96606.0,96530.89,301
2024-12-01 00:07:00+00:00,2.0306583999999988,96539.6356,96526.05,96542.39,96607.0,96526.04,297
2024-12-01 00:08:00+00:00,3.7668914600000005,96557.4113,96542.39,96581.75,96595.04,96537.28,352
2024-12-01 00:09:00+00:00,0.91468927,96582.4838,96581.75,96590.86,96601.52,96544.9,221
2024-12-01 00:10:00+00:00,4.354414710000004,96594.9875,96590.29,96618.28,96640.0,96544.9,298
2024-12-01 00:11:00+00:00,1.709727239999999,96601.6436,96618.27,96586.65,96649.0,96545.0,259
2024-12-01 00:12:00+00:00,1.3729171000000018,96577.0161,96586.64,96580.35,96649.0,96550.0,283
2024-12-01 00:13:00+00:00,4.496467689999998,96584.2568,96580.35,96590.69,96649.0,96574.2,281
2024-12-01 00:14:00+00:00,3.0215539199999992,96604.4935,96590.7,96609.62,96648.0,96582.7,353
2024-12-01 00:15:00+00:00,6.29248721,96590.6108,96609.61,96617.41,96649.0,96560.6,410
2024-12-01 00:16:00+00:00,3.382594769999999,96605.3969,96617.4,96597.86,96626.91,96584.4,272
2024-12-01 00:17:00+00:00,2.02865099,96578.9534,96597.87,96563.93,96648.0,96556.27,293
2024-12-01 00:18:00+00:00,4.728064890000002,96566.7496,96563.93,96572.83,96584.0,96548.8,391
2024-12-01 00:19:00+00:00,4.603678260000003,96590.8259,96572.83,96603.25,96609.34,96562.12,336
2024-12-01 00:20:00+00:00,2.9316614800000016,96615.6169,96609.34,96600.0,96648.0,96599.9,307
2024-12-01 00:21:00+00:00,3.883617610000001,96626.4211,96628.92,96613.69,96649.12,96599.9,310
2024-12-01 00:22:00+00:00,3.6982358899999968,96607.823,96613.68,96613.71,96624.55,96581.79,324
2024-12-01 00:23:00+00:00,2.1878618700000017,96583.0158,96613.71,96593.19,96649.0,96569.25,272
2024-12-01 00:24:00+00:00,3.0374629700000013,96584.5897,96587.9,96599.58,96649.0,96569.25,274
2024-12-01 00:25:00+00:00,3.5994418099999996,96624.9174,96651.0,96650.61,96669.0,96586.4,331
2024-12-01 00:26:00+00:00,3.2848518899999988,96621.1038,96650.61,96599.9,96678.0,96587.41,286
2024-12-01 00:27:00+00:00,5.830328829999997,96595.235,96591.35,96627.09,96670.0,96561.3,431
2024-12-01 00:28:00+00:00,3.374530470000002,96633.0411,96627.08,96648.68,96660.0,96595.0,271
2024-12-01 00:29:00+00:00,1.0802272099999999,96639.6207,96648.68,96644.2,96648.69,96599.9,206
2024-12-01 00:30:00+00:00,2.723374440000001,96650.7511,96600.0,96653.99,96680.0,96599.9,290
2024-12-01 00:31:00+00:00,2.724659760000001,96642.7669,96653.98,96646.21,96657.31,96599.9,233
2024-12-01 00:32:00+00:00,8.402242910000002,96641.202,96646.21,96661.9,96684.0,96599.9,349
2024-12-01 00:33:00+00:00,3.867514659999997,96664.2267,96660.0,96684.91,96711.0,96599.9,365
2024-12-01 00:34:00+00:00,3.2559358,96656.9151,96684.91,96711.03,96724.0,96599.9,384
2024-12-01 00:35:00+00:00,1.706021360000001,96694.0014,96713.86,96697.23,96713.88,96625.8,304
2024-12-01 00:36:00+00:00,8.537830379999996,96686.0472,96694.86,96651.46,96701.45,96625.8,327
2024-12-01 00:37:00+00:00,4.363328999999996,96617.898,96651.47,96584.34,96723.0,96569.25,361
2024-12-01 00:38:00+00:00,5.624674120000003,96577.7396,96584.29,96539.15,96647.0,96520.1,394
2024-12-01 00:39:00+00:00,1.763749230000001,96539.4657,96539.16,96543.03,96612.0,96522.63,334
2024-12-01 00:40:00+00:00,2.2778281,96516.3854,96535.88,96495.09,96588.0,96471.2,340
2024-12-01 00:41:00+00:00,14.478329930000006,96415.6624,96495.08,96414.67,96571.0,96397.4,508
2024-12-01 00:42:00+00:00,3.141518109999998,96419.3545,96414.7,96406.84,96498.0,96365.7,368
2024-12-01 00:43:00+00:00,1.5337488400000012,96414.8163,96406.87,96374.19,96476.0,96361.7,265
2024-12-01 00:44:00+00:00,11.333404979999994,96388.1265,96374.19,96332.94,96463.0,96305.06,531
