t,v,vw,o,c,h,l,n
2025-12-01 00:00:00+00:00,1.2999487099999976,90339.7028,90373.9,90369.0,90444.0,90316.8,150
2025-12-01 00:01:00+00:00,0.29328624999999997,90375.5285,90459.0,90367.1,90459.0,90362.8,50
2025-12-01 00:02:00+00:00,0.18668294000000007,90342.9014,90367.1,90372.0,90385.0,90325.6,66
2025-12-01 00:03:00+00:00,7.340172559999997,90253.9524,90372.0,90247.0,90372.0,90214.0,155
2025-12-01 00:04:00+00:00,164.21962376000047,89763.0527,90261.7,89854.0,90261.7,89000.0,1626
2025-12-01 00:05:00+00:00,11.286818249999996,89634.3339,89848.4,89665.0,89848.4,89600.0,164
2025-12-01 00:06:00+00:00,13.952701589999998,89499.0914,89646.3,89489.1,89650.0,89425.4,290
2025-12-01 00:07:00+00:00,13.460981100000003,89388.8302,89506.0,89237.5,89513.0,89230.9,306
2025-12-01 00:08:00+00:00,28.092786720000014,89113.6561,89237.5,89100.0,89390.0,89001.0,500
2025-12-01 00:09:00+00:00,32.32001442000003,89148.1048,89100.0,89132.1,89284.0,89000.0,322
2025-12-01 00:10:00+00:00,42.47141693999989,89064.5854,89162.0,89025.3,89316.0,88917.9,747
2025-12-01 00:11:00+00:00,18.68931880000001,89083.8588,89028.4,89243.5,89317.0,88947.7,306
2025-12-01 00:12:00+00:00,4.695425890000001,89125.3711,89243.4,88996.1,89292.0,88996.1,267
2025-12-01 00:13:00+00:00,17.68987136000004,88961.055,88995.5,88963.1,89063.0,88874.3,324
2025-12-01 00:14:00+00:00,1.3897636500000001,89005.6612,88968.2,88950.7,89120.0,88937.3,125
2025-12-01 00:15:00+00:00,15.392405919999991,88989.1931,89000.0,88968.6,89063.0,88900.0,262
2025-12-01 00:16:00+00:00,2.9285853899999985,88996.2882,88968.6,89021.0,89107.0,88940.6,157
2025-12-01 00:17:00+00:00,4.296392980000005,88917.3972,88995.7,88800.1,89007.0,88800.0,188
2025-12-01 00:18:00+00:00,36.209504549999956,88595.9652,88880.0,88793.7,88953.0,88524.0,305
2025-12-01 00:19:00+00:00,5.278770890000001,88708.2633,88844.0,88725.9,88844.0,88691.0,174
2025-12-01 00:20:00+00:00,21.117655649999996,88716.6957,88721.0,88729.0,88868.0,88694.1,186
2025-12-01 00:21:00+00:00,93.22932400000009,88679.6112,88800.0,88554.7,88800.0,88500.0,351
2025-12-01 00:22:00+00:00,3.6950653299999994,88538.5769,88557.6,88575.6,88638.0,88525.7,152
2025-12-01 00:23:00+00:00,2.6342260599999996,88541.9307,88575.6,88500.0,88593.0,88500.0,86
2025-12-01 00:24:00+00:00,10.285770549999999,88505.0636,88500.0,88517.3,88573.0,88419.0,213
2025-12-01 00:25:00+00:00,3.2664395100000005,88602.7876,88517.3,88613.1,88714.0,88517.3,121
2025-12-01 00:26:00+00:00,7.737863870000006,88574.6151,88613.1,88517.2,88671.0,88517.2,128
2025-12-01 00:27:00+00:00,7.53797547,88497.9184,88517.3,88500.0,88550.0,88450.0,137
2025-12-01 00:28:00+00:00,8.713610560000001,88466.5844,88450.0,88380.1,88500.0,88367.0,126
2025-12-01 00:29:00+00:00,0.22641213000000004,88380.6884,88438.0,88373.5,88439.0,88373.4,51
2025-12-01 00:30:00+00:00,25.192591340000007,88314.4469,88373.5,88306.4,88438.0,88306.3,174
2025-12-01 00:31:00+00:00,8.388511880000003,88333.4589,88306.3,88350.2,88470.0,88271.0,159
2025-12-01 00:32:00+00:00,8.378021549999996,88198.6131,88414.0,88126.5,88414.0,88100.0,286
2025-12-01 00:33:00+00:00,55.93005342000002,88001.2605,88175.0,87883.4,88175.0,87845.7,643
2025-12-01 00:34:00+00:00,5.0467666699999985,87934.7702,87883.4,87904.0,88068.0,87838.4,202
2025-12-01 00:35:00+00:00,26.80362499,87796.0111,87999.0,87779.0,87999.0,87732.6,290
2025-12-01 00:36:00+00:00,2.3516974699999995,87971.8194,87779.1,87984.2,88060.0,87779.1,150
2025-12-01 00:37:00+00:00,6.423023359999995,88008.5198,87984.2,87942.3,88120.0,87915.9,143
2025-12-01 00:38:00+00:00,8.488907029999986,87921.7924,87993.0,87783.2,88062.0,87770.6,145
2025-12-01 00:39:00+00:00,3.109377649999998,87811.457,87783.1,87844.0,87924.0,87744.4,88
2025-12-01 00:40:00+00:00,8.555890659999992,87851.2189,87914.0,87864.8,87940.0,87753.1,135
2025-12-01 00:41:00+00:00,4.430810740000002,88006.0502,87864.8,88139.0,88203.0,87864.7,162
